course_id,coupon_type,coupon_code,start_date,start_time
4392922,best_price,2023-JAN-4392922,2023-01-09,13:11
3731444,best_price,2023-JAN-3731444,2023-01-09,13:11
3418642,best_price,2023-JAN-3418642,2023-01-09,13:11
2321788,best_price,2023-JAN-2321788,2023-01-09,13:11
2276701,best_price,2023-JAN-2276701,2023-01-09,13:11
2187592,best_price,2023-JAN-2187592,2023-01-09,13:11
1878846,best_price,2023-JAN-1878846,2023-01-09,13:11
1865400,best_price,2023-JAN-1865400,2023-01-09,13:11
1864936,best_price,2023-JAN-1864936,2023-01-09,13:11
1733494,best_price,2023-JAN-1733494,2023-01-09,13:11
1465666,best_price,2023-JAN-1465666,2023-01-09,13:11
1432416,best_price,2023-JAN-1432416,2023-01-09,13:11
1427824,best_price,2023-JAN-1427824,2023-01-09,13:11
1340588,best_price,2023-JAN-1340588,2023-01-09,13:11
1294480,best_price,2023-JAN-1294480,2023-01-09,13:11
1242424,best_price,2023-JAN-1242424,2023-01-09,13:11
1147478,best_price,2023-JAN-1147478,2023-01-09,13:11
