course_id,coupon_type,coupon_code
4392922,best_price,2023-JAN-4392922-1
3731444,best_price,2023-JAN-3731444-1
3418642,best_price,2023-JAN-3418642-1
2321788,best_price,2023-JAN-2321788-1
2276701,best_price,2023-JAN-2276701-1
2187592,best_price,2023-JAN-2187592-1
1878846,best_price,2023-JAN-1878846-1
1865400,best_price,2023-JAN-1865400-1
1864936,best_price,2023-JAN-1864936-1
1733494,best_price,2023-JAN-1733494-1
1465666,best_price,2023-JAN-1465666-1
1432416,best_price,2023-JAN-1432416-1
1427824,best_price,2023-JAN-1427824-1
1340588,best_price,2023-JAN-1340588-1
1294480,best_price,2023-JAN-1294480-1
1242424,best_price,2023-JAN-1242424-1
1147478,best_price,2023-JAN-1147478-1
